  Wi,  Ai,  Bi
0.246781609,0.174230769,0.214117647
0.343634795,0.412255793,0.323327269
0.280722989,0.405659432,0.158159918
0.29357697,0.233577075,0.254467898
0.271237367,0.24389781,0.261468983
0.564584323,0.142857143,0.565710015
0.27683584,0.349424084,0.24989899
0.437397661,0.43462262,0.350941176
0.574285714,0.885172414,0.595738007
0.281575492,0.289814815,0.140769231
0.26501594,0.235757576,0.348532423
0.33497191,0.263853211,0.320124481
0.340887049,0.301166667,0.41504065
0.320879321,0.270320579,0.403302326
0.280419269,0.182067989,0.385406977
0.324213431,0.44,0.317538462
0.285910267,0.317958015,0.282083879
