  Wi,  Ai,  Bi
0.158812261,0.451153846,0.093137255
0.134466864,0.192329129,0.141629617
0.12725589,0.152754591,0.119994874
0.237876684,0.329476285,0.135373791
0.156768642,0.124043796,0.149225806
0.066817102,0.035714286,0.066255605
0.153101504,0.166753927,0.156397306
0.088434211,0.085298992,0.177647059
0.068593074,0.01,0.057675277
0.107483589,0.106587302,0.079230769
0.150541977,0.110959596,0.174744027
0.172134831,0.09206422,0.134585062
0.073808397,0.048533333,0.121544715
0.084912068,0.078914168,0.118046512
0.069134701,0.046373938,0.089651163
0.1649908,0.096041667,0.1356
0.11092321,0.105725191,0.158217562
