51% Attack,dataset,happy_nonZero,angry_nonZero,surprise_nonZero,sad_nonZero,fear_nonZero,happy_only,angry_only,surprise_only,sad_only,fear_only,happy_angry,happy_surprise,happy_sad,happy_fear,angry_surprise,angry_sad,angry_fear,surprise_sad,surprise_fear,sad_fear,happy_angry_surprise,happy_angry_sad,happy_angry_fear,happy_surprise_sad,happy_surprise_fear,happy_sad_fear,angry_surprise_sad,angry_surprise_fear,angry_sad_fear,surprise_sad_fear,happy_angry_surprise_sad,happy_angry_surprise_fear,happy_angry_sad_fear,happy_surprise_sad_fear,angry_surprise_sad_fear,happy_angry_surprise_sad_fear,happy_angry_surprise_sad_fear_allZero,happy_nonZero%,angry_nonZero%,surprise_nonZero%,sad_nonZero%,fear_nonZero%,happy_angry_surprise_sad_fear_allZero%_1,"(hv,-,-,-,-)","(-,av,-,-,-)","(-,-,sv,-,-)","(-,-,-,dv,-)","(-,-,-,-,fv)","(hv,av,-,-,-)","(hv,-,sv,-,-)","(hv,-,-,dv,-)","(hv,-,-,-,fv)","(-,av,sv,-,-)","(-,av,-,dv,-)","(-,av,-,-,fv)","(-,-,sv,dv,-)","(-,-,sv,-,fv)","(-,-,-,dv,fv)","(hv,av,sv,-,-)","(hv,av,-,dv,-)","(hv,av,-,-,fv)","(hv,-,sv,dv,-)","(hv,-,sv,-,fv)","(hv,-,-,dv,fv)","(-,av,sv,dv,-)","(-,av,sv,-,fv)","(-,av,-,dv,fv)","(-,-,sv,dv,fv)","(hv,av,sv,dv,-)","(hv,av,sv,-,fv)","(hv,av,-,dv,fv)","(hv,-,sv,dv,fv)","(-,av,sv,dv,fv)","(hv,av,sv,dv,fv)","(0,0,0,0,0)"
Feathercoin [8 June 2013],whole,18,18,24,53,77,11,9,10,32,55,0,1,0,3,0,2,1,4,4,6,0,0,1,1,0,1,1,0,3,2,0,0,0,0,1,0,113,5.940594059,5.940594059,7.920792079,17.49174917,25.41254125,37.29372937,4.214559387,3.448275862,3.831417625,12.2605364,21.07279693,0,0.383141762,0,1.149425287,0,0.766283525,0.383141762,1.53256705,1.53256705,2.298850575,0,0,0.383141762,0.383141762,0,0.383141762,0.383141762,0,1.149425287,0.766283525,0,0,0,0,0.383141762,0,43.29501916
Bitcoin [16 June 2014],whole,15297,4917,13514,15915,33883,4574,827,4112,5366,15621,369,1231,1246,5091,222,248,1293,1467,3512,4082,224,87,226,276,669,845,77,219,786,1066,44,148,78,178,58,11,18205,15.03671447,4.833334972,13.28405304,15.64419892,33.30646509,17.89523351,6.312622485,1.141350852,5.675011731,7.405669491,21.55869607,0.509260537,1.698915234,1.719616882,7.026139281,0.306384388,0.342267244,1.784482045,2.02462116,4.846945817,5.633608435,0.309144608,0.120069558,0.311904828,0.38091032,0.923293494,1.166192829,0.106268459,0.302244059,1.084766347,1.471197107,0.060724834,0.204256259,0.107648569,0.245659555,0.080046372,0.015181208,25.12489994
Verge [4 April 2018],whole,1063,1035,2226,1532,2658,194,135,556,261,873,14,199,65,143,294,100,159,211,408,370,22,11,22,28,142,82,13,66,80,141,10,12,36,63,41,20,1384,10.73954334,10.45665791,22.4893918,15.47787432,26.85390988,13.98262275,3.151909017,2.193338749,9.033306255,4.240454915,14.18359058,0.227457352,3.233143786,1.05605199,2.323314379,4.776604387,1.62469537,2.583265638,3.42810723,6.628757108,6.011372868,0.357432981,0.178716491,0.357432981,0.454914703,2.307067425,1.332250203,0.211210398,1.072298944,1.299756296,2.290820471,0.162469537,0.194963444,0.584890333,1.023558083,0.666125102,0.324939074,22.48578392
Bitcoin Gold [16-19 May 2018],whole,330,448,348,1109,1013,102,30,103,232,342,6,19,32,63,10,288,20,31,57,351,3,4,7,10,16,38,16,10,24,44,0,2,12,11,11,5,550,8.68878357,11.79568194,9.16271722,29.19957873,26.6719326,14.48130595,4.164965292,1.224989792,4.205798285,9.47325439,13.96488363,0.244997958,0.775826868,1.306655778,2.572478563,0.408329931,11.759902,0.816659861,1.265822785,2.327480604,14.33238056,0.122498979,0.163331972,0.285830951,0.408329931,0.653327889,1.551653736,0.653327889,0.408329931,0.979991833,1.796651695,0,0.081665986,0.489995917,0.449162924,0.449162924,0.204164965,22.45814618
Verge [21-22 May 2018],whole,503,294,932,951,1451,113,58,398,327,576,10,29,42,105,14,15,72,84,158,192,2,4,13,9,36,67,4,17,22,101,3,11,15,32,22,12,1098,9.619430101,5.62248996,17.82367566,18.18703385,27.7490916,20.99827883,3.086588364,1.584266594,10.87134663,8.931985796,15.73340617,0.273149413,0.792133297,1.147227533,2.868068834,0.382409178,0.409724119,1.966675772,2.294455067,4.315760721,5.244468724,0.054629883,0.109259765,0.355094237,0.245834471,0.983337886,1.830101065,0.109259765,0.464354002,0.600928708,2.758809069,0.081944824,0.300464354,0.409724119,0.874078121,0.600928708,0.327779295,29.99180552
Litecoin Cash [30 May 2018],whole,81,8,106,88,510,20,0,52,34,442,0,19,11,19,1,0,2,9,12,14,0,0,0,1,2,7,0,0,1,6,0,0,1,1,3,0,185,8.282208589,0.81799591,10.83844581,8.99795501,52.14723926,18.91615542,2.375296912,0,6.175771971,4.038004751,52.49406176,0,2.256532067,1.306413302,2.256532067,0.118764846,0,0.237529691,1.06888361,1.425178147,1.662707838,0,0,0,0.118764846,0.237529691,0.831353919,0,0,0.118764846,0.712589074,0,0,0.118764846,0.118764846,0.356294537,0,21.97149644
Vertcoin  [12 Oct - 2 Dec 2018],whole,230,175,264,423,613,65,32,96,121,269,5,14,19,65,11,55,20,23,41,98,6,1,5,1,8,23,3,4,21,38,1,2,4,10,4,2,530,10.29082774,7.829977629,11.81208054,18.9261745,27.42729306,23.71364653,4.070131497,2.003757044,6.011271133,7.576706324,16.84408265,0.313087038,0.876643707,1.189730745,4.070131497,0.688791484,3.44395742,1.252348153,1.440200376,2.567313713,6.136505949,0.375704446,0.062617408,0.313087038,0.062617408,0.500939261,1.440200376,0.187852223,0.250469631,1.31496556,2.37946149,0.062617408,0.125234815,0.250469631,0.626174076,0.250469631,0.125234815,33.18722605
Ethereum Classic [5-8 January 2019],whole,495,652,1581,1027,3751,55,122,701,318,2126,26,46,12,196,36,19,294,99,463,329,4,6,21,4,40,43,3,43,52,97,2,4,4,23,7,9,1636,5.414570116,7.131918617,17.29380879,11.23386567,41.0304091,17.8954277,0.804093567,1.783625731,10.24853801,4.649122807,31.08187135,0.380116959,0.67251462,0.175438596,2.865497076,0.526315789,0.277777778,4.298245614,1.447368421,6.769005848,4.80994152,0.058479532,0.087719298,0.307017544,0.058479532,0.584795322,0.628654971,0.043859649,0.628654971,0.760233918,1.418128655,0.029239766,0.058479532,0.058479532,0.33625731,0.102339181,0.131578947,23.91812865
Litecoin Cash [4-7 July 2019],whole,47,32,79,66,307,9,4,20,12,227,0,4,4,13,11,0,3,3,15,16,0,1,1,3,4,4,1,1,5,11,0,1,1,2,3,0,83,7.654723127,5.211726384,12.86644951,10.74918567,50,13.51791531,1.948051948,0.865800866,4.329004329,2.597402597,49.13419913,0,0.865800866,0.865800866,2.813852814,2.380952381,0,0.649350649,0.649350649,3.246753247,3.463203463,0,0.216450216,0.216450216,0.649350649,0.865800866,0.865800866,0.216450216,0.216450216,1.082251082,2.380952381,0,0.216450216,0.216450216,0.432900433,0.649350649,0,17.96536797
Vertcoin  [1 December 2019],whole,36,45,99,101,164,13,7,21,7,94,1,3,3,6,0,6,21,53,9,11,0,0,2,2,1,4,0,1,6,7,0,0,0,1,1,0,177,5.78778135,7.234726688,15.91639871,16.23794212,26.36655949,28.45659164,2.84463895,1.531728665,4.595185996,1.531728665,20.56892779,0.218818381,0.656455142,0.656455142,1.312910284,0,1.312910284,4.595185996,11.59737418,1.969365427,2.407002188,0,0,0.437636761,0.437636761,0.218818381,0.875273523,0,0.218818381,1.312910284,1.531728665,0,0,0,0.218818381,0.218818381,0,38.73085339
