  Wi,  Ai,  Bi
0.05394636,1.00E-05,0.078431373
0.126194071,0.032472866,0.148394692
0.087631194,0.034958264,0.409473347
0.076210698,0.026205534,0.109120493
0.068407539,0.062963504,0.103454094
0.055997625,1.00E-06,0.035186846
0.080551378,0.025680628,0.139124579
0.032883041,0.024524076,0.038923077
0.050887446,1.00E-06,0.060498155
0.047702407,0.027248677,0.171692308
0.025770457,0.016262626,0.077679181
0.063005618,0.010504587,0.100850622
0.082436428,0.084044444,0.07804878
0.097010309,0.110806618,0.07544186
0.034727921,0.017917847,0.055174419
0.105381785,0.075208333,0.122861538
0.074961173,0.028110687,0.12249017
