  Wi,  Ai,  Bi
0.060421456,0.007692308,0.039215686
0.111818157,0.107236726,0.105196918
0.198472786,0.107395659,0.12868529
0.078623928,0.07694664,0.170765172
0.164403169,0.113751825,0.201394541
0.090023753,0.071428571,0.079626308
0.101196742,0.052643979,0.118855219
0.153371345,0.132199328,0.139891403
0.095974026,0.066034483,0.090701107
0.126148796,0.117354497,0.192769231
0.062837407,0.022643098,0.170409556
0.074410112,0.032477064,0.156763485
0.076232998,0.080055556,0.064552846
0.083917526,0.076690796,0.096046512
0.052247993,0.026997167,0.119476744
0.141182153,0.1046875,0.133975385
0.103994823,0.095515267,0.148663172
